stock_code,timestamp,open,high,low,close,volume,turnover
SPY.US,2019-06-24,294.23,294.58,293.47,293.64,47582730,0.0
SPY.US,2019-06-25,293.7,293.73,290.64,290.76,82028656,0.0
SPY.US,2019-06-26,291.75,292.31,290.345,290.47,51584902,0.0
SPY.US,2019-06-27,291.31,292.06,290.89,291.5,40355239,0.0
SPY.US,2019-06-28,292.58,293.55,292.01,293.0,59350929,0.0
SPY.US,2019-07-01,296.68,296.92,294.33,295.66,79107474,0.0
SPY.US,2019-07-02,295.61,296.49,294.68,296.43,61504544,0.0
SPY.US,2019-07-03,297.18,298.82,297.02,298.8,40898896,0.0
SPY.US,2019-07-05,297.44,298.64,296.01,298.46,51677326,0.0
SPY.US,2019-07-08,297.01,298.258,296.22,296.82,45841772,0.0
SPY.US,2019-07-09,295.54,297.52,295.48,297.19,41101279,0.0
SPY.US,2019-07-10,298.37,299.66,297.78,298.61,58595558,0.0
SPY.US,2019-07-11,299.32,299.58,298.2,299.31,50889481,0.0
SPY.US,2019-07-12,299.85,300.73,299.51,300.65,40354410,0.0
SPY.US,2019-07-15,301.13,301.13,300.19,300.75,33910261,0.0
SPY.US,2019-07-16,300.65,300.88,299.44,299.71,40567964,0.0
SPY.US,2019-07-17,299.75,299.93,297.74,297.74,44102443,0.0
SPY.US,2019-07-18,297.19,299.25,296.7,298.83,51701687,0.0
SPY.US,2019-07-19,300.04,300.07,296.96,297.17,71081238,0.0
SPY.US,2019-07-22,297.61,298.5,297.04,297.9,43687404,0.0
SPY.US,2019-07-23,299.14,300.03,298.22,300.03,44657973,0.0
SPY.US,2019-07-24,299.19,301.44,299.09,301.44,47213232,0.0
SPY.US,2019-07-25,300.94,301.0,299.11,300.0,55394092,0.0
SPY.US,2019-07-26,300.76,302.23,300.62,302.01,45084077,0.0
SPY.US,2019-07-29,301.88,301.93,300.85,301.46,38126462,0.0
SPY.US,2019-07-30,299.91,301.17,299.49,300.72,45849045,0.0
SPY.US,2019-07-31,300.99,301.2,295.2,297.43,104245162,0.0
SPY.US,2019-08-01,297.6,300.87,293.96,294.84,142646576,0.0
SPY.US,2019-08-02,293.85,294.12,290.9,292.62,116749695,0.0
SPY.US,2019-08-05,288.09,288.21,281.72,283.82,178745449,0.0
SPY.US,2019-08-06,285.91,288.04,284.28,287.8,120711682,0.0
SPY.US,2019-08-07,284.4,288.82,282.04,287.97,140572265,0.0
SPY.US,2019-08-08,289.62,293.62,289.01,293.62,87713904,0.0
SPY.US,2019-08-09,292.58,293.24,289.65,291.62,93729958,0.0
SPY.US,2019-08-12,289.96,291.605,287.02,288.07,65527632,0.0
SPY.US,2019-08-13,287.74,294.15,287.36,292.55,94792972,0.0
SPY.US,2019-08-14,288.07,292.464,283.76,283.9,135622053,0.0
SPY.US,2019-08-15,284.88,285.64,282.39,284.65,101929845,0.0
SPY.US,2019-08-16,286.48,289.33,284.714,288.85,85825286,0.0
SPY.US,2019-08-19,292.19,293.08,291.44,292.33,53532466,15651832123.182
SPY.US,2019-08-20,291.77,292.36,289.95,290.09,51652284,15024238366.38
SPY.US,2019-08-21,292.48,292.86,291.72,292.45,49723226,14540182158.609
SPY.US,2019-08-22,293.23,293.93,290.4,292.36,51739292,15114085570.752
SPY.US,2019-08-23,290.92,292.76,283.47,284.85,149318026,42873060932.904
SPY.US,2019-08-26,287.27,288.0,285.58,288.0,72617098,20844717025.675
SPY.US,2019-08-27,289.54,289.95,286.03,286.87,68260998,19637951447.68
SPY.US,2019-08-28,286.14,289.07,285.25,288.89,59852324,17236290598.797
SPY.US,2019-08-29,291.72,293.16,290.61,292.58,57998913,16952883372.558
SPY.US,2019-08-30,294.22,294.24,291.42,292.45,62960258,18428095748.607
SPY.US,2019-09-03,290.57,291.58,289.27,290.74,69231875,20107152872.82
SPY.US,2019-09-04,293.14,294.055,292.31,294.04,47003357,13790000215.887
